Title,Price,Type,Description
Honda Accord 2013 Black,"_ 12,700,000",Foreign Used,Foreign used 2013 Honda accord Sport upgrade to 2017
Toyota Corolla 2012 Black,"_ 13,500,000",Foreign Used,Vehicle in a Buy and drive condition
Toyota Corolla 2008 Blue,"_ 9,800,000",Foreign Used,"Newly arrival of Toyota Corolla S 2008 model ,blue color
Automatic transmission 
Black interior..."
Toyota Camry 2016 Silver,"_ 17,000,000",Foreign Used,"Toyota Camry SE 2016, New Entry 
Genuine Duty 
Available"
Toyota Camry 2010 Gray,"_ 7,000,000",Local Used,Toyota Camry 2010 with thumb start v6 engine sport edition
Mercedes-Benz M Class 2015 Brown,"_ 30,000,000",Foreign Used,"Mecedez Benz ML350 2015 model fullest option keyless with panoramic roof, and 360 camera, factory..."
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Blue,"_ 30,000,000",Foreign Used,"2018 Foreign Used Toyota Camry 
SE
Black Leather Interior
Full options 
Alloyed Rims 
Nothing to fix..."
Toyota Camry 2017 Black,"_ 16,500,000",Foreign Used,New entry Foreign Used Toyota Camry LE super clean and sound
Mercedes-Benz GLE-Class GLE 350 2020 White,"_ 95,000,000",Foreign Used,Super clean foreign used Accident free full Duty paid buy and drive
Toyota Camry 2013 Red,"_ 11,000,000",Local Used,BELGIUM STANDARD TOYOTA CAMRY LE 2013 with v4 engine// keyless// open roof// leather upholstery
Ford Edge 2013 Black,"_ 12,000,000",Foreign Used,"Freign used, everything is working perfectly with nothing to fix. Call for inspection."
Mercedes-Benz GLK-Class 350 2010 Gray,"_ 16,250,000",Foreign Used,2010 Foreign used Mercedes Benz GLK 350.gray on brown interior.
Toyota Hilux 2023 Black,"_ 61,500,000",Local Used,"Very clean and sharp, absolutely nothing to fix with 8k mileage"
Toyota Camry 2009 Red,"_ 7,120,000",Local Used,Super mad ass clean camry 2009 model baked just like first body no scratch... buy and drive this is...
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Beige,"_ 100,000,000",Foreign Used,"Super clean 
2020 Mercedes Benz GLe350 
Thumbstart 
Leather seats with heated/ventilated 
Navigation..."
Toyota Sienna LE 8 Passenger 2010 Gray,"_ 10,500,000",Foreign Used,"Toyota sienna 
le 2010
Very sharp and clean."
Toyota C-HR 2019 White,"_ 22,000,000",Foreign Used,Extremely Clean And Sound Toyota C-HR. Foreign Used. 2019 Model.
Mercedes-Benz GLK-Class 2013 Black,"_ 24,000,000",Foreign Used,Foreign used 2013 Mercedes Benz GLK . Clean title and original fully paid duty. This car is blessed.
Lexus RX 350 AWD 2017 Black,"_ 42,000,000",Foreign Used,"Lexus RX 350 2017 Black,
Keyless,
Full option,
Executive interior,
Accident free,
Factory..."
Toyota Tundra Regular Cab 2006 Silver,"_ 5,850,000",Foreign Used,"Super clean, Dent and Accident free, super sound engine, sharp and smooth automatic transmission, Ac..."
Mercedes-Benz CLA-Class AMG CLA 45 4MATIC Sedan 2014 White,"_ 37,000,000",Foreign Used,"! 
Super clean foreign used 2014 Mercedes Benz CLA 45//AMG with custom duty paid, in an excellent..."
Hyundai Santa Fe 2014 Silver,"_ 17,600,000",Foreign Used,"Custom duty paid.
Clean body. Accident free. Engine and gear in top performance ."
Toyota Camry 2008 White,"_ 4,250,000",Local Used,"Painted body
Perfect untouched engine 
Perfect transmission 
Good legs 
Working AC
Thumbstart"
Toyota RAV4 2019 Red,"_ 48,000,000",Foreign Used,Freshly imported full features on special edition available for instant Payment. For more info via...
Mercedes-Benz C300 2015 Black,"_ 27,000,000",Foreign Used,"Mecedez Benz C300 2015 model keyless full option with panoramic roof, accident free car with well..."
Toyota Avalon 2014 Black,"_ 17,000,000",Foreign Used,"2014 Upgraded to 2018 Avalon Limited Edition 
Duty Paid"
Honda Pilot 2009 Black,"_ 12,300,000",Foreign Used,Foreign Honda pilot 2009 Luxury car extremely clean 100% Full option with reverse Camera. Accident...
Acura TSX Automatic 2005 Black,"_ 3,000,000",Local Used,"Clean,
grade a,
2005 model
acura tsx in good working with:
chilling ac,
custom paper,
good 4plug..."
Hyundai Tucson 2009 Silver,"_ 4,200,000",Local Used,Hyundai Tucson in a very pristine condition hurry before you here sold
Toyota Tundra 2018 Black,"_ 30,000,000",Foreign Used,"Tundra 2018 model, full options, accident free, lagos cleared, fully duty paid, buy and use"
Mercedes-Benz GLE-Class GLE 350 2016 Black,"_ 36,300,000",Foreign Used,As Clean as Brand New. Standard. Clean title All Body parts are in excellent condition. AC feels...
Toyota Sienna 2010 White,"_ 12,500,000",Foreign Used,Ambiance with full hospital equipped standard
Toyota Highlander 2018 Black,"_ 33,000,000",Foreign Used,"Very clean and accident free Toyota highlander limited, full option, nothing to fix,leather seats,"
Honda Accord EX CVT 2023 Blue,"_ 59,000,000",Foreign Used,Almost Brand New with a low mileage buy and Drive with original duty
Toyota Tacoma Limited 2017 Black,"_ 38,500,000",Foreign Used,2017 black Toyota tacoma pick up truck  foreign use with fully duty paid tin can cleared buy and...
Toyota Land Cruiser Prado 2022 Black,"_ 81,000,000",Foreign Used,"Toks Toyota Prado 2022 Tx
Brand new standard 
Pristine Condition 
33k miles
Thumbstart 
Moon..."
Toyota Land Cruiser Prado 2.7 i 2010 Black,"_ 30,000,000",Local Used,Wey neat and in good condition Toyota prado used upgraded to 2023 from 2012
Mercedes-Benz M Class 2014 White,"_ 31,000,000",Foreign Used,"Extremely clean 
foreign used
mercedes benz ml350
2014 model 
full option 
keyless entry 
park lane..."
Toyota Sienna Limited FWD 7-Passenger 2013 Black,"_ 9,500,000",Local Used,"This 2013 neatly used Toyota Sienna is available for sale.Engine, Gear and AC is in good working..."
Toyota Camry 2008 Gray,"_ 9,000,000",Foreign Used,"Toyota Camry 2008 model accident free, fully duty paid, first body no dent unpainted with a android..."
Mercedes-Benz GLE-Class GLE 350 2016 Silver,"_ 40,000,000",Foreign Used,">Manufacturer: Mercedes-Benz 
>Model: GLE350
>Spec: 4matic 
>Year: 2016
/ 
>7speed automatic
>Rear..."
Peugeot 407 1.8 SW 115 2006 Black,"_ 2,450,000",Local Used,Peugeot 407 wagon buy and use nothing to fix call for details
Mercedes-Benz M Class ML 350 4Matic 2007 Black,"_ 9,500,000",Foreign Used,"Mercedes Benz ML350 with cd/mp3/dvd, navigation, lagos tincan cleared, neat interior, no dent,..."
Toyota Matrix 2009 Gray,"_ 5,700,000",Local Used,Extremely sharp toyota matrix with original documents escape from belgium
Honda Accord Coupe 3.5 EX-L 2008 Black,"_ 5,200,000",Local Used,"Distress Sale Honda Accord 2008 Sport V6,New Engine, Untempered Gear, Perfect Ac Chilling, with..."
Toyota Highlander Limited FWD 2020 Blue,"_ 62,000,000",Foreign Used,"2020 Highlander Limited Edition 
-Precious Garena Metallic Exterior on Beige Interior 
-360..."
Toyota Matrix 2012 Green,"_ 13,850,000",Foreign Used,"Clean toyota matrix 2012, fabrics seats, air conditioner working perfectly, first grade, fm radio,..."
Toyota Camry 2011 Gray,"_ 9,900,000",Foreign Used,"Toyota Camry gray color 20111 model accident free, first body no dent unpainted with a neat interior..."
Honda Accord 2.0 i-VTEC Automatic 2009,"_ 4,500,000",Local Used,Toks standard Honda Accord for sale with V6 engine for sale ready for inspection.
Toyota Venza 2013 Black,"_ 14,950,000",Local Used,"Clean registered Toyota Venza, 2013 model, 14.950m slightly negotiable"
Toyota Matrix 2006 Silver,"_ 4,700,000",Local Used,Few months used Toyota matrix everything intact and functional buy and drive nothing to fix
Mercedes-Benz E350 2014 Gray,"_ 13,500,000",Local Used,Car is in very good condition. Registetef less than a year ago.
Toyota Highlander Limited 2012,"_ 16,800,000",Foreign Used,"Foreign Toyota Highlander 2012. extremely clean 100% Accident free New arrival, with cd,mp3/wireless..."
Mercedes-Benz GL-Class 2015 Black,"_ 45,000,000",Foreign Used,.Extremely clean luxurious machines 100% accident free available FORSALE with new duty paid buy and...
Toyota Camry 2010 Black,"_ 9,400,000",Foreign Used,"A beautifully foreign used Toyota camry, 2010/2011, with excellent gear transmission, noise free..."
Dodge Caravan 2013 White,"_ 7,600,000",Foreign Used,Working good engine amd gear ac okay
Toyota Corolla 2010 Gold,"_ 11,000,000",Foreign Used,Extra clean foreign used Toyota Corolla 2010 mudel with good condition original customs duty free...
Lexus GX 470 2009 Blue,"_ 14,500,000",Foreign Used,"Super clean, sparkling interior, fulloptions, well chilling Ac , excellent engine. good tyres."
Toyota Corolla 2015 Black,"_ 18,600,000",Foreign Used,"2016 model Toyota corolla altis,very clean, accident free, nothing to fix, duty.paid"
Lexus GX 2015 Gray,"_ 35,500,000",Local Used,"The Lexus grand suv , sweet car"
Lexus ES 2012 Black,"_ 15,000,000",Foreign Used,Lexus Es350 black Colour Leather Seat Fm radio cd player automatic drive alloy Wheels Working...
Chrysler Town&Country 2010 Silver,"_ 5,775,000",Loan,
Lexus RX 350 AWD 2015 Silver,"_ 28,000,000",Foreign Used,Lexus Rx 350 2015 model full option keyless with factory dashboard and leather seats well custom...
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Black,"_ 26,950,000",Foreign Used,"Headlamp
cruise control
Rear defroster
Tire pressure monitoring"
Toyota Venza V6 AWD 2012 White,"_ 17,000,000",Foreign Used,2012 white toyota venza open roof foreign used car with fully duty paid tin can cleared buy and...
Rolls-Royce Ghost 2015 Black,"_ 185,000,000",Foreign Used,"Brand new 2015 car, readily available for the most serious buyer"
Mercedes-Benz GLC-Class 2021 Gray,"_ 88,500,000",Foreign Used,"New arrival 2021 Mercedes Benz GLC300 full option,360 degree camera,LED lights power button"
Lexus RX 350 AWD 2016 Gray,"_ 48,000,000",Foreign Used,"Foreign used Lexus Rx350 (016) accident free, first body, very clean, engine 100%, gear selection..."
Toyota Highlander XLE 2019 Black,"_ 38,000,000",Foreign Used,Accident free tincan cleared duty well paid white on black interior 3row seater thumb start ignition...
Toyota Corolla 1.8 LE 2008 Silver,"_ 9,900,000",Local Used,"Direct Belgium Toyota Corolla 2008 model, fullest option 
super exterior 
clean interior 
perfect..."
Lexus RX 350 AWD 2016 Black,"_ 45,000,000",Foreign Used,Very clean full option Tokumbo rx350 2016 model everything working perfectly fine
Lexus RX 350 AWD 2015 Black,"_ 25,000,000",Foreign Used,"Tincan clearing,duty paid, navigation system, reverse camera, Bluetooth, power booth, keyless entry,..."
Mercedes-Benz GLK-Class 350 4MATIC 2014 White,"_ 22,000,000",Foreign Used,2014 white GLK 350 foreign used car with fully duty paid tin can cleared buy and drive nothing to...
Toyota Tundra 2018 Black,"_ 35,800,000",Foreign Used,"Fantastic, barely driven 2018 black TUNDRA from abroad featuring airbags, power back glass...."
BMW 328i 2012 Blue,"_ 10,800,000",Local Used,"First body, untouched engine, thumbstart drive, leather seat, head on display, open roof, chilling..."
Toyota Sienna 2005 Red,"_ 4,725,000",Local Used,
Lexus RX 300 2002 Black,"_ 3,580,000",Local Used,Buy and drive rx300 no issue with all component working perfectly well ... document are all intact
Toyota Camry 2016 Silver,"_ 17,300,000",Foreign Used,"Super clean
free accident 
excellent condition 
low mileage"
Mercedes-Benz GLA 250 2015 Gray,"_ 29,000,000",Foreign Used,"Newly arrival of 2015 Mercedes Benz, GLA 250, gray on black interior 
Automatic transmission..."
Peugeot 206 GTI 180 2005 Blue,"_ 5,800,000",Local Used,Peugeot 206 GTi 180 2005 model with pops and bangs and full duty
Honda Accord 2017 White,"_ 17,500,000",Foreign Used,EXL Honda Accord 2016 Ready fri Inspection
Pontiac Vibe 2008 Burgundy,"_ 7,500,000",Local Used,Inspection will convince u ... buy and drive immediately
Lexus ES 350 FWD 2014 Black,"_ 16,000,000",Local Used,Very neat in and out with very sound engine and gearbox
Toyota Corolla 2015 Gray,"_ 16,800,000",Foreign Used,2015 gray on black interior toyota corolla sport foreign used car with fully duty paid tin can...
Ford Edge ST 2021 Gray,"_ 41,000,000",Foreign Used,"Super clean interior and exterior , panoramic roof , sport seats and more. 
Location- Lekki phase 1"
Lexus ES 350 FWD 2014 White,"_ 21,500,000",Foreign Used,"Tokubo Es 350 full option 
In a very good condition 
Custom duty Paid"
Toyota Camry 2017 Black,"_ 18,300,000",Foreign Used,"*accident free, toks, crispy & sparkling clean 2017 toyota camry le fullest option*
this car has..."
Nissan Armada Platinum AWD 2017 Gray,"_ 36,000,000",Foreign Used,"A super clean SUV.in a superb condition super sound engine, gear and AC.Clean interior and exterior..."
Toyota Corolla 1.3 Sedan 1996 Blue,"_ 2,150,000",Local Used,"Extra neat Toyota Corolla old school for sale in warri, good engine and gear,ac need activation"
Toyota Highlander 2006 Black,"_ 5,300,000",Local Used,"Clean Toyota Highlander 2006model, 3seater, everything working perfectly, run and drive..."
Lexus ES 330 2006 Gold,"_ 9,000,000",Foreign Used,2006 gold on cream interior es 330 foreign used car with fully duty paid tin can cleared buy and...
Mercedes-Benz C300 2013 White,"_ 11,500,000",Foreign Used,Very clean Mercedes-Benz c300 2011 accident free full option very neat inside and outside duty fully...
Honda Accord 2013 Gray,"_ 14,000,000",Foreign Used,"Foreign used, Honda Accord,
2013 Model, Custom full duty,
Faultless,
Sound engine,
Full..."
Toyota Land Cruiser Prado 2010 Black,"_ 26,000,000",Local Used,Super clean and sharp used toyota landcruiser prado 2010 upgraded to 2022 buy and drive
Toyota Corolla LE 2006 Silver,"_ 4,200,000",Local Used,"Painted neatly used Toyota Corrola 
Sound Engine and gear
Chilling AC 
Buy and drive"
Honda Accord 2022 Gray,"_ 45,000,000",Foreign Used,An excellent clean 2022 Honda accord fullest option with original custom duty
Toyota Highlander 2006 Gray,"_ 7,380,000",Local Used,"Barely used , toks standard ,first body paint, sound and silent engine, gear selecting perfectly,Ac..."
Toyota Sienna LE & 1 hatch 2000 Silver,"_ 7,500,000",Foreign Used,"Foreign used Toyota Sienna Le 2000 model with sliver colour,cd/MP/dvd, no dent, Accident free, full..."
Toyota Venza AWD 2011 White,"_ 15,500,000",Local Used,"One month used toyota venza awd batch _2011_full option, wit first body paint, key features, thumb..."
Land Rover Range Rover Vogue 2014 Black,"_ 33,500,000",Local Used,"Super Power 
Pristine V8 Engine
Full option with Pano
Reverse Cam 
360° Cam
Fully paid duty"
Lexus RX 350 AWD 2013 Gray,"_ 26,000,000",Foreign Used,"Fist body accidental free, Navigation system and reverse camera, perfect gear and engine..."
Toyota Tacoma 2020 Silver,"_ 30,000,000",Foreign Used,"Lagos cleared, duty fully paid, navigation system, reserve camera, bluetooth, dvd, fabric seats,..."
Lexus RX 350 AWD 2016 White,"_ 44,500,000",Foreign Used,Newly Arrived Foreign used 2016 Lexus Rx350 Full Duty Paid No Error Recorded. buy ans Drive With...
Honda Accord 2015 Black,"_ 19,000,000",Foreign Used,"Newly arrival of Honda accord Sport,2015 model,
Automatic transmission 
Fullest option 
With sunroof..."
Lexus RX 350 2010 Gray,"_ 21,650,000",Foreign Used,Toks 2010 Lexus RX 350 full option. Grey on cream leather interior. Engine is top notch and...
Toyota Fun Cargo 2020 Black,"_ 63,700,000",Local Used,"2020 Toyota Fortunner
Registered 
Price: 63.7
Location: Ipaja
Merc-kere"
Toyota Highlander 2015 Blue,"_ 26,550,000",Foreign Used,Lagos tincan cleared suv with good suspensions. Nothing to fix. Buy n drive. Price is slightly...
Lexus RX 350 2010 White,"_ 16,800,000",Local Used,"No Condition Engine and Gear working perfectly Ac chilling,you ain’t gonna regret getting it"
Lexus RX 350 2008 Blue,"_ 8,950,000",Local Used,Extremely clean with all facilities including ac working
Ford Explorer 2014 Black,"_ 8,700,000",Local Used,Ford is working  perfectly come for inspection
Mercedes-Benz GLE-Class 2021 White,"_ 115,000,000",Foreign Used,"Mercedes Benz GLE450 white Color
 Super clean Black leather interior 
Am fm dvd player Factory..."
Mercedes-Benz C180 2002 Burgundy,"_ 6,000,000",Foreign Used,Supper clean foreign used mercedes benz c180 kompressor. excellent engine and perfect gear...
Toyota Venza 2014 Black,"_ 23,000,000",Foreign Used,"Clean title Toyota Venza 2014 model limited(fullest option) with panoramic,sensors,intelligent..."
Mitsubishi Outlander 2008 Silver,"_ 6,500,000",Foreign Used,"Foreign used 2008 mitsubishi outlander... 
Automatic transmission, fabric interior, alloy wheels,..."
Toyota Camry 2015 Gray,"_ 16,800,000",Foreign Used,"Extremely clean Accident free
Ac works perfectly 
Engine and Gear in Top condition 
Sport edition."
Toyota Venza V6 AWD 2011 White,"_ 18,000,000",Foreign Used,"Toyota Venza White 2011,
Accident free,
Keyless,
Panoramic sunroof,
Clean Interior,
No Dent,
Nothing..."
Toyota Highlander 2005 Blue,"_ 5,400,000",Local Used,"Super clean Toyota Highlander 2005 model.
Neat interior and exterior, chilling AC, 3 row seats, buy..."
Toyota Corolla 2012 Black,"_ 8,500,000",Local Used,"Reg. Toyota Corolla 2012 Model 
Bought BrandNew 
Full Option
Untouched Engine and Gear 
AC Freezing ..."
Lexus LX 2018 Black,"_ 148,000,000",Foreign Used,Newly released. Extremely clean foreign used LEXUS LX570 2018 MODEL. Now available for inspection...
Toyota Camry 2010 Gray,"_ 6,500,000",Local Used,"Toks standard Toyota Camry muscles is up for sale
Super good engine
Smooth drive gear
Chilling..."
Ford Explorer 2016 Black,"_ 21,800,000",Foreign Used,"Perfect Condition... 
Full option with panoramic roof and thumbstart... 
Low mileage... 
Beautiful..."
Toyota Venza 2015 Red,"_ 17,500,000",Foreign Used,Toyota venza with fully loaded opinion super clean and Sharp with camera and navigation system...
Toyota Camry 2004 Gold,"_ 3,400,000",Local Used,"Registered Toyota camry 2004 model up for sale, all components in excellent condition and..."
Toyota Sienna Limited FWD 7-Passenger 2013 Brown,"_ 19,500,000",Foreign Used,"Toyota Sienna 
Limited Awd
Accident free 
Everything is working perfectly 
Full duty paid."
