Title,Price,Type,Description
Ford Edge 2010 Brown,"_ 5,500,000",Local Used,2010 ford edge used very clean excellent performance nothing to fix
Toyota Camry 2010 Black,"_ 11,850,000",Foreign Used,"This my recent cleared Camry Sport is extremely neat with keystart, fabric seat and 4 plugs..."
Lexus RX 350 2010 Silver,"_ 21,000,000",Foreign Used,"Silver colour Clean foreign used Lexus RX350 with cd/mp3/dvd, no dent, accident free, full options,..."
Toyota Highlander Limited 2009 White,"_ 13,500,000",Foreign Used,"Foreign used Highlander Limited, 2009 model, clean title, full option with key, reverse camera..."
Ford Explorer 2016 Black,"_ 26,500,000",Foreign Used,Pristine Clean tokunbo 2016 ford explorer platinum edition
New Lexus LX 2023 Gray,"_ 300,000,000",Brand New,Jakkismotors lx600 2023 brand new super fullest option come fast
Mercedes-Benz M Class 2015 White,"_ 27,000,000",Foreign Used,Super clean with first body Accident free
BMW F-Series 2012 Gray,"_ 15,800,000",Foreign Used,Foreign used 2012 BMW 528i F10 series . Tincan cleared and total accident free.
Peugeot 408 2011 Gold,"_ 4,200,000",Local Used,
Ford Explorer 2014 Black,"_ 14,500,000",Foreign Used,"2014 Fors Explorer XLT
Accident free 
Foreign Used 
Complete duty paid 
Perfect working condition..."
Toyota Corolla 2012 Red,"_ 12,000,000",Foreign Used,"Extremely clean Toks 2012 Toyota Corolla LE with first body, accident free... Sparkling fabric..."
Kia Sorento 2015 Black,"_ 7,900,000",Local Used,Kia sorento 2015 with a sound engine and transmission system. AC chilling. 4 plugs
Mercedes-Benz E320 2005 Gray,"_ 6,200,000",Foreign Used,Accident free. __ first body. V6 engine
Toyota Matrix 2009 Silver,"_ 10,500,000",Foreign Used,2009 silver Toyota matrix foreign used car with fully duty paid tin can cleared buy and drive...
Toyota Highlander Limited 2010 Red,"_ 16,800,000",Foreign Used,Highlander 2010 model. wine color. accident free. turn start. full option
Lexus RX 350 FWD 2012 Silver,"_ 21,500,000",Foreign Used,"Direct tokumbo, accident free, tincan clearing, active AC, super clean car, smooth body, no..."
Toyota Corolla 2004 Blue,"_ 4,300,000",Local Used,"Very clean Toyota Corolla 2004 model.
Neat interior and exterior, chilling AC, sound engine and gear..."
Hyundai Sonata 2012 Red,"_ 10,000,000",Foreign Used,Super Clean Foreign used 2012 Hyundai Sonata key
Land Rover Range Rover Sport HST MHEV 2019 Black,"_ 90,000,000",Foreign Used,The 2019 Range Rover Sport HST is a luxury SUV celebrated for its powerful performance and upscale...
Mercedes-Benz G-Class 2015 Off white,"_ 68,000,000",Local Used,PRE-OWNED 2015 G63 AMG super clean sweet ride one year used
Honda Accord 2014 Burgundy,"_ 16,500,000",Foreign Used,"Clean in and out 
Buy and drive"
Lexus GX 460 Luxury 2016 White,"_ 42,000,000",Foreign Used,"2016 Neatly used Lexus GX460 Premium 
Duty Paid
2021 Entry
Buy and Drive"
Toyota Venza V6 2011 White,"_ 17,500,000",Foreign Used,Toyota venza 2011 model white colour full option and factory navigation system reverse camera front...
Toyota RAV4 2014 Silver,"_ 15,500,000",Local Used,RAV4 LE 2014 first body clean and sharp.
Infiniti FX 45 2003 Gray,"_ 3,700,000",Local Used,"neatly used nissan infiniti fx45 model 2003 in desired condition
3.7m 
abuja
 _mobile comfortability..."
Honda Accord 2013 Gray,"_ 17,000,000",Foreign Used,"Honda Accord 2013 grey color
Tokunbo accident free
Firstbody
Navigation system
Pure original leather..."
Hyundai Sonata 2012 Black,"_ 7,000,000",Nigerian Used,Black sonata 2012 super clean. Complete buy and drive. I only sell 1stgrade Nigerian used car....
Mercedes-Benz GLC-Class 2016 Red,"_ 45,500,000",Foreign Used,"2016 Model Mercedes-Benz Glc 300 4matic Red Color with cd/mp3/dvd, no dent, accident free, lagos..."
Mercedes-Benz GLA 250 2015 Gray,"_ 27,800,000",Foreign Used,Extremely mint foreign used 2015 mercedes benz gla250 sport with leather brown interior... full...
Lexus RX 350 4x4 2009 Gold,"_ 9,500,000",Local Used,"This 2009 model RX350 full option first body, engine gear and Ac is 100 percent okay no fault. With..."
Nissan Frontier 2014 Blue,"_ 6,500,000",Local Used,"Car in good shape, buy and drive."
